"","region_code","region_name","region_level","n_species","n_checklists"
"471","US-TX-141","El Paso","subnational2",361,5347
"472","US-TX-427","Starr","subnational2",355,11535
"473","US-TX-303","Lubbock","subnational2",354,8408
"474","US-TX-021","Bastrop","subnational2",351,7142
"475","US-TX-027","Bell","subnational2",351,5675
"476","US-TX-391","Refugio","subnational2",350,3900
"477","US-TX-113","Dallas","subnational2",348,27687
"478","US-TX-181","Grayson","subnational2",348,11193
"479","US-TX-489","Willacy","subnational2",344,2942
"480","US-TX-157","Fort Bend","subnational2",343,13923
"481","US-TX-329","Midland","subnational2",336,5177
"482","US-TX-479","Webb","subnational2",336,6246
"483","US-TX-463","Uvalde","subnational2",335,6276
"484","US-TX-469","Victoria","subnational2",335,2515
"485","US-TX-311","McMullen","subnational2",333,2265
"486","US-TX-231","Hunt","subnational2",330,2929
"487","US-TX-381","Randall","subnational2",330,6443
"488","US-TX-389","Reeves","subnational2",329,3064
"489","US-TX-187","Guadalupe","subnational2",328,17166
"490","US-TX-243","Jeff Davis","subnational2",328,12116
"491","US-TX-467","Van Zandt","subnational2",328,6849
"492","US-TX-121","Denton","subnational2",327,11799
"493","US-TX-465","Val Verde","subnational2",326,2726
"494","US-TX-209","Hays","subnational2",323,9832
"495","US-TX-297","Live Oak","subnational2",321,2562
"496","US-TX-091","Comal","subnational2",319,8567
"497","US-TX-379","Rains","subnational2",318,2693
"498","US-TX-053","Burnet","subnational2",317,6202
"499","US-TX-239","Jackson","subnational2",317,1631
"500","US-TX-451","Tom Green","subnational2",317,4927
